lr,dropout,batch_size,best_val_loss,best_val_acc,best_epoch
0.001,0.7,32,0.00126,1.0,15
0.001,0.5,64,0.001346,1.0,14
0.001,0.3,64,0.001422,1.0,13
0.0005,0.7,32,0.001484,1.0,14
0.0005,0.5,32,0.001621,1.0,12
0.0005,0.3,32,0.001832,1.0,14
0.0005,0.3,64,0.001888,1.0,15
0.001,0.5,32,0.002437,1.0,9
0.0005,0.7,64,0.002894,1.0,9
0.0005,0.5,64,0.003814,1.0,11
0.0001,0.3,32,0.003945,1.0,14
0.0001,0.7,32,0.0042,1.0,15
0.001,0.3,32,0.004277,1.0,10
0.0001,0.5,64,0.004761,1.0,15
0.0001,0.5,32,0.004793,1.0,14
0.0001,0.3,64,0.006787,1.0,15
0.001,0.7,64,0.008931,1.0,6
0.0001,0.7,64,0.009894,1.0,11
